sample_id,result_dir,mask_ratio,method,layer,n,rmse,mae,cos,pearson_r
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,229563,0.16690464905763489,0.04736391790520575,0.7274897761821082,0.7117488976735156
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,318555,0.17173516108439218,0.04942314632326988,0.695034432974479,0.6760909768419235
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,gt_positive,290775,0.19335204994054564,0.05460706606431015,0.6533170317793838,0.6345469923472716
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,gt_positive,248539,0.18784427385085709,0.052121017856618865,0.6766189129968441,0.6603424270278611
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,gt_positive,275983,0.21218955700849024,0.06658353092161609,0.6393224295909554,0.6143862233637627
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Spatial KNN,gt_positive,264068,0.20160520508932298,0.06084712502478381,0.6659196711802885,0.6451441353662603
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,gt_positive,379565,0.17600256610083376,0.04848456746766179,0.7531070596480293,0.7361231011109696
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,gt_positive,254185,0.16693847082531543,0.045397925808568926,0.7983342907030324,0.7836501919329832
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,gt_positive,530884,0.18615389965021084,0.049372428599702006,0.7125533308141965,0.6952796772708523
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,gt_positive,319430,0.17916540251576968,0.05072118138957294,0.7656062751820433,0.7482350569155481
151673,seed1531_e100_per_site_random_60_seed1531,60,Spatial KNN,gt_positive,293387,0.18346017960548228,0.053676729012259526,0.6944886974064651,0.6738040199264463
