mask_ratio,layer,method,metric,value,rank,signed_improvement_vs_mean
40,all_holdout,AIRGate-ST,mae,0.006740116014607907,7,-0.004419713584204997
40,all_holdout,AIRDiff-ST,mae,0.006731704996853218,6,-0.004411302566450309
40,all_holdout,Mean Baseline,cos,0.9194629005718559,1,0.0
40,all_holdout,SoftImpute,cos,0.7921142904640462,5,-0.12734861010780962
40,all_holdout,Multiple Imputation,cos,0.8882759093585687,3,-0.031186991213287163
40,all_holdout,Spatial KNN,cos,0.7281020014184452,6,-0.1913608991534107
40,all_holdout,Spatial IDW,cos,0.7190139402757048,7,-0.2004489602961511
40,all_holdout,AIRGate-ST,cos,0.8304492584107188,4,-0.08901364216113705
40,all_holdout,AIRDiff-ST,cos,0.8908823862873786,2,-0.028580514284477276
40,all_holdout,Mean Baseline,pearson_r,0.9189684598797601,1,0.0
40,all_holdout,SoftImpute,pearson_r,0.790876652587399,5,-0.12809180729236103
40,all_holdout,Multiple Imputation,pearson_r,0.8896943388429147,3,-0.029274121036845346
40,all_holdout,Spatial KNN,pearson_r,0.7270263166508405,6,-0.19194214322891956
40,all_holdout,Spatial IDW,pearson_r,0.7179204712648972,7,-0.20104798861486284
40,all_holdout,AIRGate-ST,pearson_r,0.8308562759715233,4,-0.08811218390823672
40,all_holdout,AIRDiff-ST,pearson_r,0.8933339175028904,2,-0.025634542376869685
40,gt_positive,Mean Baseline,rmse,0.08427330322966138,3,0.0
40,gt_positive,SoftImpute,rmse,0.17194870869309162,6,-0.08767540546343024
40,gt_positive,Multiple Imputation,rmse,0.08419477402486619,2,7.852920479518855e-05
40,gt_positive,Spatial KNN,rmse,0.17095773791448682,5,-0.08668443468482544
40,gt_positive,Spatial IDW,rmse,0.17348488323691647,7,-0.08921158000725508
40,gt_positive,AIRGate-ST,rmse,0.07647957202139512,1,0.0077937312082662635
40,gt_positive,AIRDiff-ST,rmse,0.09234338611246765,4,-0.008070082882806265
40,gt_positive,Mean Baseline,mae,0.02760088468184395,3,0.0
40,gt_positive,SoftImpute,mae,0.05727666380361593,7,-0.02967577912177198
40,gt_positive,Multiple Imputation,mae,0.02721889128019347,2,0.0003819934016504774
40,gt_positive,Spatial KNN,mae,0.04878617127612893,5,-0.02118528659428498
40,gt_positive,Spatial IDW,mae,0.049785000323763644,6,-0.022184115641919695
40,gt_positive,AIRGate-ST,mae,0.026976457325868165,1,0.0006244273559757839
40,gt_positive,AIRDiff-ST,mae,0.03022453887305468,4,-0.002623654191210731
40,gt_positive,Mean Baseline,cos,0.9447325375543452,2,0.0
40,gt_positive,SoftImpute,cos,0.8016576072742071,5,-0.14307493028013807
40,gt_positive,Multiple Imputation,cos,0.9444057607120655,3,-0.0003267768422796635
40,gt_positive,Spatial KNN,cos,0.7398964046039177,6,-0.20483613295042746
40,gt_positive,Spatial IDW,cos,0.7307748440345364,7,-0.21395769351980876
40,gt_positive,AIRGate-ST,cos,0.9536373719218697,1,0.008904834367524539
40,gt_positive,AIRDiff-ST,cos,0.9326688820450485,4,-0.012063655509296667
40,gt_positive,Mean Baseline,pearson_r,0.9398463614098335,2,0.0
40,gt_positive,SoftImpute,pearson_r,0.7838221199887122,5,-0.15602424142112126
40,gt_positive,Multiple Imputation,pearson_r,0.9378944431168751,3,-0.0019519182929583767
40,gt_positive,Spatial KNN,pearson_r,0.720930559076948,6,-0.21891580233288543
40,gt_positive,Spatial IDW,pearson_r,0.7113943160718406,7,-0.2284520453379929
40,gt_positive,AIRGate-ST,pearson_r,0.9478453739400258,1,0.007999012530192307
40,gt_positive,AIRDiff-ST,pearson_r,0.9246816189728316,4,-0.015164742437001832
60,all_holdout,Mean Baseline,rmse,0.022271504129194444,1,0.0
60,all_holdout,SoftImpute,rmse,0.04372036159410665,7,-0.021448857464912208
60,all_holdout,Multiple Imputation,rmse,0.026882392577905628,3,-0.004610888448711183
60,all_holdout,Spatial KNN,rmse,0.04096124847039947,5,-0.018689744341205024
60,all_holdout,Spatial IDW,rmse,0.04165717017641059,6,-0.019385666047216144
60,all_holdout,AIRGate-ST,rmse,0.03150804419950402,4,-0.009236540070309579
60,all_holdout,AIRDiff-ST,rmse,0.025030669924145713,2,-0.002759165794951269
60,all_holdout,Mean Baseline,mae,0.0023277509530715834,1,0.0
60,all_holdout,SoftImpute,mae,0.003593591898889762,4,-0.0012658409458181784
60,all_holdout,Multiple Imputation,mae,0.006111631509068364,6,-0.0037838805559967806
60,all_holdout,Spatial KNN,mae,0.002780953879632995,2,-0.00045320292656141157
60,all_holdout,Spatial IDW,mae,0.002838880007673719,3,-0.0005111290546021357
60,all_holdout,AIRGate-ST,mae,0.005857161858626773,5,-0.003529410905555189
60,all_holdout,AIRDiff-ST,mae,0.006347481100571367,7,-0.004019730147499783
60,all_holdout,Mean Baseline,cos,0.9179124372887537,1,0.0
60,all_holdout,SoftImpute,cos,0.7376648895178026,5,-0.1802475477709511
60,all_holdout,Multiple Imputation,cos,0.8818122030492963,3,-0.03610023423945741
60,all_holdout,Spatial KNN,cos,0.6843988210950043,6,-0.23351361619374944
60,all_holdout,Spatial IDW,cos,0.671018366998112,7,-0.2468940702906417
60,all_holdout,AIRGate-ST,cos,0.8476728639391167,4,-0.07023957334963704
60,all_holdout,AIRDiff-ST,cos,0.8958483564788013,2,-0.02206408080995237
60,all_holdout,Mean Baseline,pearson_r,0.9174083101938751,1,0.0
60,all_holdout,SoftImpute,pearson_r,0.7361991827816593,5,-0.18120912741221584
60,all_holdout,Multiple Imputation,pearson_r,0.8831211146910771,3,-0.03428719550279802
60,all_holdout,Spatial KNN,pearson_r,0.6832632982200257,6,-0.2341450119738494
60,all_holdout,Spatial IDW,pearson_r,0.6698664484507063,7,-0.24754186174316883
60,all_holdout,AIRGate-ST,pearson_r,0.8478388580367344,4,-0.06956945215714072
60,all_holdout,AIRDiff-ST,pearson_r,0.8977808124144282,2,-0.019627497779446945
60,gt_positive,Mean Baseline,rmse,0.08467415832941232,2,0.0
60,gt_positive,SoftImpute,rmse,0.1981729885993232,7,-0.11349883026991088
60,gt_positive,Multiple Imputation,rmse,0.08589581939713599,3,-0.0012216610677236728
60,gt_positive,Spatial KNN,rmse,0.18346017960548228,5,-0.09878602127606996
60,gt_positive,Spatial IDW,rmse,0.1868262529985375,6,-0.10215209466912518
60,gt_positive,AIRGate-ST,rmse,0.080178481608819,1,0.004495676720593311
60,gt_positive,AIRDiff-ST,rmse,0.08671390598098283,4,-0.0020397476515705143
60,gt_positive,Mean Baseline,mae,0.027630601131424362,1,0.0
60,gt_positive,SoftImpute,mae,0.06715248097501889,7,-0.03952187984359452
60,gt_positive,Multiple Imputation,mae,0.027851326677625538,2,-0.00022072554620117604
60,gt_positive,Spatial KNN,mae,0.053676729012259526,5,-0.026046127880835164
60,gt_positive,Spatial IDW,mae,0.055099340480141666,6,-0.027468739348717304
60,gt_positive,AIRGate-ST,mae,0.028817296227358305,3,-0.0011866950959339428
60,gt_positive,AIRDiff-ST,mae,0.030130553024260563,4,-0.002499951892836201
60,gt_positive,Mean Baseline,cos,0.9444807411239065,2,0.0
60,gt_positive,SoftImpute,cos,0.7455713874164313,5,-0.1989093537074752
60,gt_positive,Multiple Imputation,cos,0.9423411909570821,3,-0.002139550166824322
60,gt_positive,Spatial KNN,cos,0.6944886974064651,6,-0.24999204371744133
60,gt_positive,Spatial IDW,cos,0.6805941754819574,7,-0.263886565641949
60,gt_positive,AIRGate-ST,cos,0.9497145872608227,1,0.0052338461369162426
60,gt_positive,AIRDiff-ST,cos,0.9419301592827989,4,-0.0025505818411075687
60,gt_positive,Mean Baseline,pearson_r,0.9395275110253558,2,0.0
60,gt_positive,SoftImpute,pearson_r,0.7245144879502017,5,-0.21501302307515413
60,gt_positive,Multiple Imputation,pearson_r,0.9355484954268558,3,-0.003979015598500002
60,gt_positive,Spatial KNN,pearson_r,0.6738040199264463,6,-0.26572349109890947
60,gt_positive,Spatial IDW,pearson_r,0.6594667147458503,7,-0.28006079627950553
60,gt_positive,AIRGate-ST,pearson_r,0.9434969380023319,1,0.003969426976976109
60,gt_positive,AIRDiff-ST,pearson_r,0.9351659124981004,4,-0.0043615985272553726
